año_mes,Actos notariales de compra venta de inmuebles anotados en el Colegio de Escribanos. CABA ,Var. mensual (%),Var. Anual (%) 
2002-01,1678,,
2002-02,1557,-7.21096543504172,
2002-03,3434,120.552344251766,
2002-04,8035,133.983692486896,
2002-05,8098,0.784069695084,
2002-06,3548,-56.1867127685848,
2002-07,4308,21.4205186020293,
2002-08,4380,1.67130919220055,
2002-09,4580,4.56621004566211,
2002-10,5048,10.2183406113537,
2002-11,5148,1.98098256735342,
2002-12,6474,25.7575757575758,
2003-01,3527,-45.5205437133148,110.190703218117
2003-02,3447,-2.2682166146867,121.387283236994
2003-03,4612,33.7975050768784,34.3040186371578
2003-04,5739,24.4362532523851,-28.5749844430616
2003-05,5716,-0.400766684091303,-29.4146702889602
2003-06,5046,-11.7214835549335,42.2209695603157
2003-07,5759,14.1300039635355,33.6815227483751
2003-08,5121,-11.0783122069804,16.9178082191781
2003-09,5506,7.51806287834407,20.2183406113537
2003-10,5658,2.76062477297494,12.0839936608558
2003-11,4767,-15.7476139978791,-7.4009324009324
2003-12,6457,35.4520662890707,-0.262588816805687
2004-01,3206,-50.3484590367044,-9.1012191664304
2004-02,3284,2.43293824079851,-4.72874963736583
2004-03,5152,56.8818514007308,11.7085862966175
2004-04,4983,-3.28027950310559,-13.1730266596968
2004-05,5262,5.59903672486455,-7.94261721483555
2004-06,5495,4.42797415431395,8.89813713832739
2004-07,5384,-2.02001819836215,-6.51154714360132
2004-08,5235,-2.76745913818722,2.22612770943176
2004-09,5524,5.52053486150907,0.3269160915365
2004-10,4667,-15.5141202027516,-17.5150229763167
2004-11,5840,25.1339190057853,22.5089154604573
2004-12,7186,23.0479452054795,11.290072789221
2005-01,3537,-50.7792930698581,10.3243917654398
2005-02,3755,6.16341532372067,14.3422655298417
2005-03,5186,38.1091877496671,0.659937888198758
2005-04,5823,12.2830698033166,16.8573148705599
2005-05,6014,3.28009617035891,14.2911440516914
2005-06,5994,-0.332557366145658,9.08098271155595
2005-07,6149,2.58591925258591,14.2087667161961
2005-08,7025,14.2462188973817,34.1929321872015
2005-09,7039,0.199288256227748,27.4257784214337
2005-10,6532,-7.202727660179,39.9614313263338
2005-11,7033,7.66993263931415,20.4280821917808
2005-12,7824,11.2469785297881,8.87837461731145
2006-01,4282,-45.2709611451943,21.063047780605
2006-02,4072,-4.9042503503036,8.44207723035952
2006-03,5345,31.262278978389,3.06594677979175
2006-04,5990,12.067352666043,2.8679374892667
2006-05,6380,6.51085141903172,6.08579980046557
2006-06,6281,-1.55172413793103,4.78812145478813
2006-07,6188,-1.48065594650534,0.634249471458781
2006-08,5622,-9.14673561732385,-19.9715302491103
2006-09,5770,2.63251511917466,-18.028128995596
2006-10,7438,28.9081455805892,13.8701775872627
2006-11,5510,-25.9209464909922,-21.6550547419309
2006-12,7963,44.519056261343,1.77658486707566
2007-01,4537,-43.0239859349491,5.95516113965437
2007-02,4428,-2.40246859158034,8.7426326129666
2007-03,6226,40.6052393857272,16.4826941066417
2007-04,4488,-27.9151943462898,-25.0751252086811
2007-05,5988,33.4224598930481,-6.14420062695925
2007-06,6459,7.86573146292586,2.83394363954785
2007-07,6312,-2.27589410125406,2.0038784744667
2007-08,6444,2.0912547528517,14.6211312700107
2007-09,6061,-5.94351334574799,5.04332755632582
2007-10,6886,13.6116152450091,-7.42134982522184
2007-11,6725,-2.33807725820505,22.0508166969147
2007-12,8439,25.4869888475836,5.97764661559714
2008-01,4291,-49.1527432160209,-5.42208507824554
2008-02,5407,26.0079235609415,22.1093044263776
2008-03,4586,-15.1840207138894,-26.3411500160617
2008-04,6011,31.072830353249,33.9349376114082
2008-05,6387,6.25519880219598,6.66332665330662
2008-06,5998,-6.09049632065133,-7.13732775971513
2008-07,6847,14.1547182394131,8.47591888466413
2008-08,5680,-17.0439608587703,-11.8559900682806
2008-09,6221,9.52464788732394,2.63982841115327
2008-10,6454,3.74537855650217,-6.27359860586698
2008-11,5211,-19.2593740316083,-22.5130111524164
2008-12,5922,13.6442141623489,-29.825808745112
2009-01,2545,-57.0246538331645,-40.6898158937311
2009-02,2500,-1.76817288801572,-53.7636397262808
2009-03,3607,44.28,-21.3475795900567
2009-04,3718,3.07734959800388,-38.1467309931792
2009-05,3664,-1.45239376008607,-42.6334742445593
2009-06,4277,16.7303493449782,-28.6928976325442
2009-07,4199,-1.82370820668692,-38.6738717686578
2009-08,5330,26.9349845201238,-6.16197183098591
2009-09,4935,-7.4108818011257,-20.6719176981193
2009-10,4917,-0.364741641337385,-23.8146885652309
2009-11,5149,4.71832418141143,-1.18979082709653
2009-12,6758,31.2487861720723,14.1168524147248
2010-01,3433,-49.2009470257473,34.8919449901768
2010-02,3331,-2.97116224876202,33.24
2010-03,4958,48.8441909336536,37.45494871084
2010-04,4813,-2.92456635740218,29.4513179128564
2010-05,5168,7.37585705381258,41.0480349344978
2010-06,5615,8.64938080495357,31.2836100070143
2010-07,5537,-1.38913624220837,31.864729697547
2010-08,5477,-1.08361928842333,2.75797373358349
2010-09,5657,3.2864706956363,14.6301925025329
2010-10,5245,-7.2830121972777,6.67073418751272
2010-11,6039,15.1382268827455,17.2849096912022
2010-12,7037,16.5259148865706,4.12844036697249
2011-01,3863,-45.1044479181469,12.5254879114477
2011-02,3739,-3.20994046078178,12.2485740018013
2011-03,4895,30.9173575822412,-1.27067365873336
2011-04,4751,-2.9417773237998,-1.28817785165177
2011-05,5515,16.0808250894549,6.71439628482973
2011-06,5749,4.2429737080689,2.38646482635796
2011-07,5544,-3.56583753696295,0.126422250316049
