barrio,anio,mes,precio_prom,ambientes,comuna
ALMAGRO,2015,Sep,6869,3 ambientes,5
ALMAGRO,2015,Oct,NA,3 ambientes,5
ALMAGRO,2015,Nov,NA,3 ambientes,5
ALMAGRO,2015,Dic,NA,3 ambientes,5
ALMAGRO,2016,Ene,8061,3 ambientes,5
ALMAGRO,2016,Feb,NA,3 ambientes,5
ALMAGRO,2016,Mar,7986,3 ambientes,5
ALMAGRO,2016,Abr,9017,3 ambientes,5
ALMAGRO,2016,May,NA,3 ambientes,5
ALMAGRO,2016,Jun,NA,3 ambientes,5
ALMAGRO,2016,Jul,8706,3 ambientes,5
ALMAGRO,2016,Ago,9578,3 ambientes,5
ALMAGRO,2016,Sep,9607,3 ambientes,5
ALMAGRO,2016,Oct,9558,3 ambientes,5
ALMAGRO,2016,Nov,10869,3 ambientes,5
ALMAGRO,2016,Dic,11689,3 ambientes,5
ALMAGRO,2017,Ene,10551,3 ambientes,5
ALMAGRO,2017,Feb,11478,3 ambientes,5
ALMAGRO,2017,Mar,11208,3 ambientes,5
ALMAGRO,2017,Abr,12081,3 ambientes,5
ALMAGRO,2017,May,12358,3 ambientes,5
ALMAGRO,2017,Jun,12576,3 ambientes,5
ALMAGRO,2017,Jul,12132,3 ambientes,5
ALMAGRO,2017,Ago,12609,3 ambientes,5
ALMAGRO,2017,Sep,12523,3 ambientes,5
ALMAGRO,2017,Oct,13356,3 ambientes,5
ALMAGRO,2017,Nov,13743,3 ambientes,5
ALMAGRO,2017,Dic,13603,3 ambientes,5
ALMAGRO,2018,Ene,14608,3 ambientes,5
ALMAGRO,2018,Feb,15628,3 ambientes,5
ALMAGRO,2018,Mar,NA,3 ambientes,5
ALMAGRO,2018,Abr,NA,3 ambientes,5
ALMAGRO,2018,May,17100,3 ambientes,5
ALMAGRO,2018,Jun,NA,3 ambientes,5
ALMAGRO,2018,Jul,16749,3 ambientes,5
ALMAGRO,2018,Ago,17607,3 ambientes,5
ALMAGRO,2018,Sep,16931,3 ambientes,5
ALMAGRO,2018,Oct,17427,3 ambientes,5
ALMAGRO,2018,Nov,18964,3 ambientes,5
ALMAGRO,2018,Dic,NA,3 ambientes,5
ALMAGRO,2019,Ene,NA,3 ambientes,5
ALMAGRO,2019,Feb,NA,3 ambientes,5
ALMAGRO,2019,Mar,20163,3 ambientes,5
ALMAGRO,2019,Abr,19954,3 ambientes,5
ALMAGRO,2019,May,20666,3 ambientes,5
ALMAGRO,2019,Jun,20733,3 ambientes,5
ALMAGRO,2019,Jul,NA,3 ambientes,5
ALMAGRO,2019,Ago,NA,3 ambientes,5
BALVANERA,2013,Jul,3712,3 ambientes,3
BALVANERA,2013,Ago,3405,3 ambientes,3
BALVANERA,2013,Sep,3699,3 ambientes,3
BALVANERA,2013,Oct,4057,3 ambientes,3
BALVANERA,2013,Nov,3814,3 ambientes,3
BALVANERA,2013,Dic,3985,3 ambientes,3
BALVANERA,2014,Ene,NA,3 ambientes,3
BALVANERA,2014,Feb,4223,3 ambientes,3
BALVANERA,2014,Mar,4435,3 ambientes,3
BALVANERA,2014,Abr,NA,3 ambientes,3
BALVANERA,2014,May,4066,3 ambientes,3
BALVANERA,2014,Jun,NA,3 ambientes,3
BALVANERA,2014,Jul,NA,3 ambientes,3
BALVANERA,2014,Ago,NA,3 ambientes,3
BALVANERA,2014,Sep,NA,3 ambientes,3
BALVANERA,2014,Oct,4521,3 ambientes,3
BALVANERA,2014,Nov,NA,3 ambientes,3
BALVANERA,2014,Dic,NA,3 ambientes,3
BALVANERA,2015,Ene,NA,3 ambientes,3
BALVANERA,2015,Feb,NA,3 ambientes,3
BALVANERA,2015,Mar,NA,3 ambientes,3
BALVANERA,2015,Abr,NA,3 ambientes,3
BALVANERA,2015,May,NA,3 ambientes,3
BALVANERA,2015,Jun,5917,3 ambientes,3
BALVANERA,2015,Jul,NA,3 ambientes,3
BALVANERA,2015,Ago,NA,3 ambientes,3
BALVANERA,2015,Sep,NA,3 ambientes,3
BALVANERA,2015,Oct,NA,3 ambientes,3
BALVANERA,2015,Nov,NA,3 ambientes,3
BALVANERA,2015,Dic,NA,3 ambientes,3
