,actos_coleg_esc,monto_cred_uva,superficie,precio_venta_m2,expectativa_inflacion_mediana,tasas_interes_pm,precio_alquiler_dolares,uva,mes
0,3121.0,0.0,126882.0,2197.9556071389693,30.0,17.14,386.99724989342593,0,6
1,3044.0,0.0,103881.0,2156.769230769231,30.0,17.14,369.45266721346195,0,5
2,3237.0,0.0,104452.0,2190.6811916632823,30.0,17.14,378.0149748323446,0,7
3,3529.0,0.0,138079.0,2186.428252067999,28.0,17.14,372.0070832517824,0,9
4,3319.0,0.0,117513.0,2145.58,30.0,17.14,383.80125077783765,0,11
5,4381.0,0.0,110570.0,2177.2994652702805,30.0,17.14,409.643205609471,0,12
6,2030.0,0.0,84348.0,2172.6525977972774,30.0,24.0,360.43530512833377,0,2
7,1996.0,0.0,114418.0,2123.3125,35.0,24.0,348.1054759632541,0,1
8,2222.0,0.0,107282.0,2163.7245391389406,30.0,24.0,395.1527451330061,0,3
9,2682.0,0.0,57643.0,2159.637387696352,30.0,24.0,416.4359786346474,0,4
10,2896.0,0.0,117438.0,2091.155555555556,30.0,24.0,395.8256433775633,0,10
11,3154.0,0.0,101579.0,2152.653544976178,30.0,24.0,410.0794818353397,0,8
12,3115.0,0.0,115032.0,2149.911607131914,30.0,24.0,429.4690913720172,0,6
13,2762.0,0.0,101305.0,2102.7551020408164,30.0,24.0,361.93034057049505,0,5
14,3103.0,0.0,100301.0,2146.2642416557437,35.0,24.0,324.21080426303286,0,7
15,3125.0,0.0,120988.0,2145.473460262868,35.0,24.0,319.02981946258933,0,9
16,2717.0,0.0,97668.0,2081.5,30.0,24.0,375.0525159754936,0,11
17,3890.0,0.0,76663.0,2146.1957209542647,30.0,24.0,400.7010377065997,0,12
18,1726.0,0.0,74713.0,2147.78525974788,30.0,24.9,383.4223091114459,0,2
19,1629.0,0.0,76298.0,2165.0096153846152,30.0,24.9,408.49162799116436,0,1
20,2750.0,0.0,81947.0,2153.5683042038345,30.0,24.9,437.01094257195956,0,3
21,2851.0,0.0,77900.0,2157.804146371423,30.0,24.9,418.00427360013344,0,4
22,3131.0,0.0,85289.0,2185.107843137255,28.0,24.9,449.1546388197671,0,10
23,3365.0,0.0,112068.0,2169.0325468669907,30.0,24.9,438.9486894623675,0,8
24,4083.0,0.0,104618.0,2176.0385555942503,25.0,24.9,409.00055152774104,0,6
25,2936.0,0.0,96495.0,2283.1041666666665,22.0,24.9,411.0170214529565,0,5
26,3533.0,0.0,52693.0,2192.8372680400507,30.0,24.9,415.32643882582136,0,7
27,3523.0,0.0,54603.0,2202.6203480341273,25.0,24.9,459.8535730664148,0,9
28,3450.0,0.0,51053.0,2223.1028037383176,20.0,24.9,424.2956280971166,0,11
29,4401.0,0.0,52421.0,2224.9065218908127,30.0,24.9,463.2632336722282,0,12
30,1901.0,0.0,58371.0,2237.382520883071,25.0,31.508064516129032,444.51654618315155,0,2
31,1920.0,0.0,53771.0,2301.6611570247933,30.0,30.591379310344823,392.94907917100926,0,1
32,3139.0,0.0,67366.0,2264.9154280365856,30.0,37.553225806451614,460.4826123853373,0,3
33,3347.0,0.0,66161.0,2279.93241726667,30.0,38.0,494.6691396658821,0,4
34,3648.0,2075.0,72234.0,2302.076923076923,28.0,36.91935483870968,495.8407302834514,1,10
35,3644.0,14247.0,63479.0,2312.3547778683164,25.0,32.675,533.4199446575187,1,8
36,3571.0,35622.0,64040.0,2329.7103505517416,25.0,30.330645161290324,495.9589060559315,1,6
37,4224.0,127181.0,70341.0,2347.660714285714,25.0,29.451612903225808,520.4634388891952,1,5
38,4212.0,238335.0,72514.0,2366.5743338270986,20.0,27.4,533.8678525542944,1,7
39,4153.0,394258.0,72036.0,2386.0235606080864,20.0,26.75,528.8178219842307,1,9
